Variable,Mean,Std,Min,Max,Unit
interception,0.14,0.07,0.00,0.34,mm
snowpack,3.61,10.53,0.00,98.90,mm
swc_l01,52.98,13.79,26.96,73.30,mm
swc_l02,67.81,10.24,31.57,77.68,mm
swc_l03,219.05,2.25,209.78,221.94,mm
swc_lall,1618.51,130.13,1262.36,1794.78,mm
unsatSTW,6.69,4.94,0.25,25.61,mm
satSTW,19.49,7.85,3.41,42.20,mm
sealedSTW,1.13,0.59,0.00,2.23,mm
sm_l01,0.72,0.19,0.36,0.99,mm
sm_l02,0.86,0.14,0.39,1.00,mm
sm_l03,0.98,0.01,0.93,1.00,mm
sm_lall,0.90,0.07,0.70,1.00,mm
total,1649.57,143.68,1270.03,1922.37,mm
