date,qobs,qsim
2005-01-01,15.2,10.2756185
2005-01-02,14.7,7.4661748
2005-01-03,13.2,9.0933371
2005-01-04,12.7,7.450932
2005-01-05,11.4,8.5881288
2005-01-06,11.4,7.5871565
2005-01-07,10.1,7.0242362
2005-01-08,9.36,6.4676512
2005-01-09,8.98,6.012339
2005-01-10,7.92,5.5220478
2005-01-11,7.26,5.1557813
2005-01-12,6.95,6.6784868
2005-01-13,7.59,6.2221147
2005-01-14,6.64,5.2447722
2005-01-15,6.06,4.8443864
2005-01-16,5.78,4.5876383
2005-01-17,5.51,4.3601463
2005-01-18,5.51,6.1398046
2005-01-19,6.64,5.0191299
2005-01-20,10.5,24.3393569
2005-01-21,32.8,15.8480097
2005-01-22,17.6,13.6151075
2005-01-23,14.2,10.3496117
2005-01-24,12.7,8.8679233
2005-01-25,11.4,7.9188709
2005-01-26,10.1,7.2699779
2005-01-27,9.36,6.7546237
2005-01-28,8.98,6.3116839
2005-01-29,8.26,5.9173135
2005-01-30,7.59,5.5647905
2005-01-31,8.26,8.0386928
2005-02-01,11.4,6.5764489
2005-02-02,9.36,12.4944544
2005-02-03,26.9,9.0018707
2005-02-04,17.6,6.9392899
2005-02-05,12.7,6.3573841
2005-02-06,10.1,5.914943
2005-02-07,8.62,5.5270591
2005-02-08,7.59,5.185338
2005-02-09,7.26,4.8860154
2005-02-10,8.98,25.7781274
2005-02-11,48.9,37.4397509
2005-02-12,75.3,50.2937113
2005-02-13,88.7,41.9337933
2005-02-14,48.1,32.2048273
2005-02-15,33.5,25.995363
2005-02-16,26.9,21.2164776
2005-02-17,22.1,17.3955943
2005-02-18,19.2,14.3785893
2005-02-19,17.4,12.0772612
2005-02-20,14.7,10.312233
2005-02-21,13.7,9.1127305
2005-02-22,12.3,8.3883766
2005-02-23,11.0,7.8295208
2005-02-24,10.1,7.3347745
2005-02-25,9.36,6.8935763
2005-02-26,8.62,6.4988683
2005-02-27,12.3,6.1446782
2005-02-28,7.26,5.8259258
2005-03-01,6.95,5.5382688
2005-03-02,6.64,5.2779799
2005-03-03,6.35,5.0418464
2005-03-04,6.06,4.8270886
2005-03-05,6.06,4.6312934
2005-03-06,5.78,4.452359
2005-03-07,5.51,4.2884492
2005-03-08,5.51,6.0070881
2005-03-09,5.78,5.9304218
2005-03-10,5.51,4.6700068
2005-03-11,5.25,5.0022425
2005-03-12,6.06,5.5721117
2005-03-13,5.78,5.4527441
2005-03-14,6.06,6.0871348
2005-03-15,7.92,9.5025443
2005-03-16,25.1,16.527178
2005-03-17,43.5,23.5911838
2005-03-18,51.2,36.3796468
2005-03-19,65.5,32.9713384
2005-03-20,43.5,26.441832
2005-03-21,30.8,22.3523699
2005-03-22,24.5,19.1713001
2005-03-23,20.4,16.6538793
2005-03-24,18.1,14.5353933
2005-03-25,20.4,25.2837915
2005-03-26,27.6,18.7719957
2005-03-27,19.8,14.4200483
2005-03-28,16.8,12.4032482
2005-03-29,14.7,10.9048796
2005-03-30,13.2,9.7645614
2005-03-31,11.4,8.7837864
2005-04-01,10.1,8.068073
2005-04-02,8.98,7.5335487
2005-04-03,8.26,7.0827776
2005-04-04,7.59,6.7079503
2005-04-05,7.26,6.387091
2005-04-06,6.95,6.1064439
2005-04-07,6.64,6.3398441
2005-04-08,7.26,6.2847018
2005-04-09,6.35,5.9269856
2005-04-10,6.06,5.5655094
2005-04-11,5.25,5.2953814
2005-04-12,5.25,5.091492
2005-04-13,5.0,4.9045259
2005-04-14,4.76,4.732827
2005-04-15,4.52,4.5747873
2005-04-16,4.3,4.4289919
2005-04-17,4.3,4.3513029
2005-04-18,4.52,4.2120351
2005-04-19,4.08,4.0927537
2005-04-20,3.86,3.9818631
2005-04-21,3.66,3.8785138
2005-04-22,3.46,3.7819908
2005-04-23,3.46,3.6916564
2005-04-24,3.27,3.6069404
2005-04-25,4.52,7.977628
2005-04-26,4.76,5.0554499
2005-04-27,3.86,4.4092251
2005-04-28,4.08,3.9239813
2005-04-29,3.46,3.7004439
2005-04-30,3.27,3.6068177
2005-05-01,3.27,3.5192985
2005-05-02,3.27,3.4373126
2005-05-03,3.27,5.2948297
2005-05-04,5.25,12.3901177
2005-05-05,7.26,7.0286402
2005-05-06,6.35,8.7127305
2005-05-07,6.35,9.779418
2005-05-08,9.36,6.1985791
2005-05-09,6.35,4.9441564
2005-05-10,5.0,4.6913482
2005-05-11,4.52,4.4758863
2005-05-12,4.08,4.3040842
2005-05-13,3.86,4.1464861
2005-05-14,3.86,7.4722838
2005-05-15,5.51,5.283158
2005-05-16,4.08,5.884877
2005-05-17,5.25,5.5888937
2005-05-18,5.0,4.5134339
2005-05-19,3.86,4.1141918
2005-05-20,3.66,3.9666094
2005-05-21,3.46,3.8317102
2005-05-22,3.27,3.7074974
2005-05-23,3.27,5.2710695
2005-05-24,4.52,4.3214429
2005-05-25,3.27,3.6033514
2005-05-26,3.09,3.4948041
2005-05-27,2.92,3.3941517
2005-05-28,2.75,3.3005942
2005-05-29,2.58,3.2134481
2005-05-30,2.58,3.5096206
2005-05-31,3.27,3.1723888
2005-06-01,2.58,3.0267552
2005-06-02,2.43,2.9566863
2005-06-03,2.43,2.8914442
2005-06-04,2.43,2.8302677
2005-06-05,2.58,3.2081005
2005-06-06,3.46,9.0241104
2005-06-07,4.52,6.70821
2005-06-08,4.08,3.6514671
2005-06-09,2.92,2.9935491
2005-06-10,2.58,6.8986367
2005-06-11,5.0,4.0379394
2005-06-12,3.09,2.9969589
2005-06-13,2.58,2.9177685
2005-06-14,3.09,8.6740883
2005-06-15,5.51,4.2828656
2005-06-16,2.58,2.9874174
2005-06-17,2.58,3.2474845
2005-06-18,2.92,2.9415726
2005-06-19,2.28,2.7896489
2005-06-20,2.14,2.7194622
2005-06-21,2.14,4.3175963
2005-06-22,3.66,3.2466391
2005-06-23,2.43,2.6297759
2005-06-24,2.14,2.569119
2005-06-25,2.14,8.9688258
2005-06-26,5.78,4.0661554
2005-06-27,2.92,2.6264251
2005-06-28,2.28,2.5602032
2005-06-29,2.14,2.5503225
2005-06-30,2.92,7.0224879
2005-07-01,5.0,9.7334891
2005-07-02,6.64,4.4756922
2005-07-03,3.66,2.886133
2005-07-04,2.75,4.3903706
2005-07-05,8.98,12.0978538
2005-07-06,6.35,5.1600837
2005-07-07,5.0,3.6500902
2005-07-08,4.76,4.5015101
2005-07-09,3.66,3.4560437
2005-07-10,3.09,3.1559259
2005-07-11,3.46,3.0420667
2005-07-12,2.75,2.9365027
2005-07-13,2.58,2.8393713
2005-07-14,2.43,2.785409
2005-07-15,2.43,2.7055963
2005-07-16,2.43,2.6036444
2005-07-17,2.14,2.5304201
2005-07-18,2.0,2.4622909
2005-07-19,2.43,6.2187174
2005-07-20,3.66,7.472747
2005-07-21,4.3,12.985422
2005-07-22,9.74,6.1976012
2005-07-23,4.52,3.3997355
2005-07-24,3.27,3.2087765
2005-07-25,3.27,3.0461269
2005-07-26,2.75,2.9315416
2005-07-27,2.58,2.8282547
2005-07-28,2.28,2.7323289
2005-07-29,2.28,13.6877334
2005-07-30,8.26,5.970689
2005-07-31,3.46,3.2194242
2005-08-01,2.58,3.0865816
2005-08-02,2.43,6.4600602
2005-08-03,8.62,15.5010542
2005-08-04,7.92,6.382696
2005-08-05,4.3,9.2196283
2005-08-06,8.62,8.2660799
2005-08-07,9.74,9.3388601
2005-08-08,8.62,6.6357273
2005-08-09,6.35,5.1100484
2005-08-10,5.25,4.8137819
2005-08-11,4.76,4.5627701
2005-08-12,4.3,8.9448945
2005-08-13,7.59,5.7444364
2005-08-14,4.76,5.3171244
2005-08-15,4.76,5.2824353
2005-08-16,4.3,4.3787106
2005-08-17,3.86,4.0869548
2005-08-18,3.46,3.890776
2005-08-19,3.09,3.7117344
2005-08-20,2.92,5.5150163
2005-08-21,4.52,4.2150419
2005-08-22,4.3,24.4960002
2005-08-23,46.5,25.7712
2005-08-24,26.3,13.6255199
2005-08-25,15.7,9.8109997
2005-08-26,12.3,8.5267927
2005-08-27,9.36,7.3888408
2005-08-28,7.92,6.6901916
2005-08-29,6.95,6.2343056
2005-08-30,6.06,5.8529963
2005-08-31,5.25,5.5091413
2005-09-01,4.76,5.198409
2005-09-02,4.52,4.9170607
2005-09-03,4.3,4.6618616
2005-09-04,4.08,4.4299289
2005-09-05,3.86,4.2186973
2005-09-06,3.66,4.0260046
2005-09-07,3.46,3.8499035
2005-09-08,3.27,3.6886742
2005-09-09,3.09,3.5407945
2005-09-10,2.92,3.4075746
2005-09-11,4.3,28.3209334
2005-09-12,18.1,17.7020459
2005-09-13,16.3,8.4847304
2005-09-14,8.98,6.1925133
2005-09-15,7.26,12.6030102
2005-09-16,14.7,16.3619677
2005-09-17,17.6,10.6584146
2005-09-18,10.5,7.8579874
2005-09-19,9.36,6.9657735
2005-09-20,8.26,6.3516256
2005-09-21,7.26,5.9541701
2005-09-22,6.64,5.6085859
2005-09-23,6.06,5.2965019
2005-09-24,5.51,5.0141018
2005-09-25,4.76,4.7580565
2005-09-26,5.0,4.7625621
2005-09-27,4.76,4.4928562
2005-09-28,4.76,7.3854283
2005-09-29,6.95,7.52461
2005-09-30,6.35,5.4235565
2005-10-01,4.76,11.6880407
2005-10-02,7.59,7.5272421
