date,qsim,qobs,smi,smi_class,smi_l01,smi_l02,r_pctl,r_pctl_class,q_pctl,q_pctl_class,mdi,mdi_class,spi_1,spi_3,spi_6,spei_1,spei_3,spei_6,sdi_3,sdi_6
2005-01-01,10.275618451036554,15.2,6.25,moderate_drought,81.25,81.25,62.5,normal_or_wet,100.0,normal_or_wet,,unknown,,,,,,,,
2005-01-02,7.466174808629216,14.7,6.25,moderate_drought,81.25,75.0,62.5,normal_or_wet,100.0,normal_or_wet,,unknown,,,,,,,,
2005-01-03,9.093337112642358,13.2,6.25,moderate_drought,81.25,75.0,68.75,normal_or_wet,93.75,normal_or_wet,,unknown,,,,,,,,
2005-01-04,7.450931957065336,12.7,6.25,moderate_drought,81.25,75.0,68.75,normal_or_wet,93.75,normal_or_wet,,unknown,,,,,,,,
2005-01-05,8.588128813534686,11.4,6.25,moderate_drought,75.0,68.75,68.75,normal_or_wet,81.25,normal_or_wet,,unknown,,,,,,,,
2005-01-06,7.58715648056959,11.4,6.25,moderate_drought,75.0,68.75,75.0,normal_or_wet,81.25,normal_or_wet,,unknown,,,,,,,,
2005-01-07,7.024236237768499,10.1,6.25,moderate_drought,75.0,68.75,75.0,normal_or_wet,68.75,normal_or_wet,,unknown,,,,,,,,
2005-01-08,6.4676512114996285,9.36,6.25,moderate_drought,68.75,68.75,62.5,normal_or_wet,68.75,normal_or_wet,,unknown,,,,,,,,
2005-01-09,6.012338967960118,8.98,6.25,moderate_drought,68.75,68.75,62.5,normal_or_wet,62.5,normal_or_wet,,unknown,,,,,,,,
2005-01-10,5.5220478391552374,7.92,6.25,moderate_drought,62.5,68.75,62.5,normal_or_wet,62.5,normal_or_wet,,unknown,,,,,,,,
2005-01-11,5.155781315218479,7.26,6.25,moderate_drought,56.25,68.75,56.25,normal_or_wet,62.5,normal_or_wet,,unknown,,,,,,,,
2005-01-12,6.678486757658892,6.95,6.25,moderate_drought,56.25,68.75,56.25,normal_or_wet,62.5,normal_or_wet,,unknown,,,,,,,,
2005-01-13,6.222114669071172,7.59,6.25,moderate_drought,56.25,68.75,56.25,normal_or_wet,68.75,normal_or_wet,,unknown,,,,,,,,
2005-01-14,5.2447722482696255,6.64,6.25,moderate_drought,56.25,68.75,50.0,normal_or_wet,62.5,normal_or_wet,,unknown,,,,,,,,
2005-01-15,4.844386360442271,6.06,6.25,moderate_drought,56.25,68.75,43.75,normal_or_wet,62.5,normal_or_wet,,unknown,-1.0451123744041728,,,0.9619758979216817,,,,
2005-01-16,4.587638288969213,5.78,6.25,moderate_drought,50.0,68.75,43.75,normal_or_wet,62.5,normal_or_wet,,unknown,-1.0451123744041728,,,0.961527590637328,,,,
2005-01-17,4.360146330722608,5.51,6.25,moderate_drought,50.0,68.75,43.75,normal_or_wet,56.25,normal_or_wet,,unknown,-1.0418591380937794,,,0.961139811271008,,,,
2005-01-18,6.139804585916425,5.51,6.25,moderate_drought,50.0,68.75,50.0,normal_or_wet,50.0,normal_or_wet,,unknown,-0.8934167171847525,,,0.9642502165665546,,,,
2005-01-19,5.019129931412729,6.64,6.25,moderate_drought,43.75,62.5,50.0,normal_or_wet,43.75,normal_or_wet,,unknown,-0.8801427652618836,,,0.9642372523558435,,,,
2005-01-20,24.33935687327663,10.5,6.25,moderate_drought,62.5,62.5,75.0,normal_or_wet,68.75,normal_or_wet,,unknown,0.04822585734662915,,,0.9912751321824129,,,,
2005-01-21,15.84800972055492,32.8,6.25,moderate_drought,75.0,81.25,87.5,normal_or_wet,100.0,normal_or_wet,,unknown,0.09824358073253336,,,0.9926819143236064,,,,
2005-01-22,13.61510747297375,17.6,6.25,moderate_drought,75.0,75.0,87.5,normal_or_wet,93.75,normal_or_wet,,unknown,0.15002816999901628,,,0.9942618394984345,,,,
