date,qobs,qsim,year,month
1990-01-01,6.58,4.2673728,1990,1
1990-01-02,6.29,4.0317252,1990,1
1990-01-03,6.01,3.8185317,1990,1
1990-01-04,6.01,3.6252176,1990,1
1990-01-05,6.01,3.4495471,1990,1
1990-01-06,5.74,3.289572,1990,1
1990-01-07,5.23,3.1435893,1990,1
1990-01-08,5.23,3.0101063,1990,1
1990-01-09,5.48,3.0371561,1990,1
1990-01-10,5.48,3.8782157,1990,1
1990-01-11,5.23,3.4218485,1990,1
1990-01-12,5.48,3.4184129,1990,1
1990-01-13,5.23,2.9569918,1990,1
1990-01-14,4.98,2.8167761,1990,1
1990-01-15,4.98,2.6962217,1990,1
1990-01-16,4.98,2.6924506,1990,1
1990-01-17,4.98,2.8430699,1990,1
1990-01-18,5.74,2.7090455,1990,1
1990-01-19,5.23,2.5043518,1990,1
1990-01-20,4.98,2.5189796,1990,1
1990-01-21,4.98,3.1229671,1990,1
1990-01-22,4.98,2.559505,1990,1
1990-01-23,4.98,2.3651717,1990,1
1990-01-24,4.98,2.5369159,1990,1
1990-01-25,4.98,3.3059978,1990,1
1990-01-26,4.98,2.5574979,1990,1
1990-01-27,4.51,2.3469339,1990,1
1990-01-28,4.51,2.2703164,1990,1
1990-01-29,4.51,2.198203,1990,1
1990-01-30,4.51,2.1320019,1990,1
1990-01-31,4.51,2.0706032,1990,1
1990-02-01,4.29,2.0135321,1990,2
1990-02-02,4.29,1.9603693,1990,2
1990-02-03,4.29,2.3270178,1990,2
1990-02-04,4.08,2.0889171,1990,2
1990-02-05,4.08,1.9116672,1990,2
1990-02-06,4.08,1.8641217,1990,2
1990-02-07,4.08,1.8195764,1990,2
1990-02-08,4.08,1.7780336,1990,2
1990-02-09,4.08,1.785554,1990,2
1990-02-10,3.87,2.1175419,1990,2
1990-02-11,4.29,2.0547648,1990,2
1990-02-12,3.87,1.9657016,1990,2
1990-02-13,3.87,4.1527403,1990,2
1990-02-14,4.98,7.7565919,1990,2
1990-02-15,6.29,10.5384115,1990,2
1990-02-16,6.58,4.9286835,1990,2
1990-02-17,5.48,4.7670331,1990,2
1990-02-18,6.29,6.9550293,1990,2
1990-02-19,8.96,5.0781968,1990,2
1990-02-20,7.49,4.5636538,1990,2
