month,avg_smi,drought_frequency,avg_duration,early_start_pct,late_end_pct
1,52.688172043010766,16.666666666666664,4.0,7.6923076923076925,7.6923076923076925
2,53.11827956989247,16.666666666666664,3.0,7.6923076923076925,7.6923076923076925
3,52.90322580645161,16.666666666666664,3.0,7.6923076923076925,0.0
4,51.61290322580646,20.0,2.0,7.6923076923076925,15.384615384615385
5,52.365591397849464,20.0,4.5,15.384615384615385,15.384615384615385
6,50.64516129032259,20.0,3.0,7.6923076923076925,7.6923076923076925
7,52.04301075268817,20.0,0.0,0.0,0.0
8,53.01075268817203,16.666666666666664,2.0,7.6923076923076925,7.6923076923076925
9,50.10752688172043,20.0,3.0,15.384615384615385,7.6923076923076925
10,51.72043010752689,20.0,0.0,0.0,7.6923076923076925
11,51.612903225806456,20.0,2.5,15.384615384615385,7.6923076923076925
12,51.29032258064516,20.0,3.0,7.6923076923076925,15.384615384615385
