nSoil_Types 2676
SOIL_NR	HORIZON	UD[mm]	LD[mm]	Clay[%]	SAND[%]	Bd[gcm-3]	Silt[%]
1	1	0	100	2.5	92.5	1.18	
1	2	100	2000	2.5	92.5	1.4	
2	1	0	300	2.5	80.0	1.39	
2	2	300	800	2.5	80.0	1.62	
2	3	800	1200	2.5	92.5	1.63	
2	4	1200	2000	2.5	92.5	1.63	
3	1	0	300	2.5	80.0	1.62	
3	2	300	750	2.5	80.0	1.62	
3	3	750	1200	14.5	60.5	1.75	
3	4	1200	2000	21.0	44.0	1.71	
4	1	0	300	2.5	92.5	1.4	
4	2	300	350	2.5	92.5	1.63	
4	3	350	700	2.5	92.5	1.83	
4	4	700	1000	2.5	92.5	1.63	
4	5	1000	2000	2.5	92.5	1.63	
5	1	0	100	6.5	76.0	1.37	
5	2	100	300	6.5	76.0	1.37	
5	3	300	400	6.5	76.0	1.6	
5	4	400	600	10.0	65.0	1.78	
5	5	600	1000	10.0	65.0	1.58	
5	6	1000	1400	14.5	60.5	1.55	
5	7	1400	2000	14.5	60.5	1.75	
6	1	0	100	2.5	92.5	1.18	
6	2	100	300	2.5	92.5	1.4	
6	3	300	700	2.5	92.5	1.4	
6	4	700	2000	2.5	92.5	1.4	
7	1	0	100	4.0	31.0	1.34	
7	2	100	300	4.0	31.0	1.57	
7	3	300	700	4.0	31.0	1.57	
7	4	700	2000	4.0	31.0	1.57	
8	1	0	300	4.0	31.0	1.34	
8	2	300	700	4.0	31.0	1.57	
8	3	700	1400	4.0	31.0	1.57	
8	4	1400	2000	4.0	31.0	1.57	
9	1	0	300	23.5	19.0	1.25	
9	2	300	700	23.5	19.0	1.48	
9	3	700	1200	23.5	19.0	1.48	
9	4	1200	2000	23.5	19.0	1.48	
10	1	0	300	23.5	19.0	1.25	
10	2	300	400	23.5	19.0	1.48	
10	3	400	600	35.0	10.0	1.61	
10	4	600	1200	35.0	10.0	1.41	
10	5	1200	2000	35.0	10.0	1.41	
11	1	0	300	35.0	10.0	1.18	
11	2	300	400	35.0	10.0	1.41	
11	3	400	600	55.0	22.5	1.55	
11	4	600	1200	35.0	10.0	1.41	
11	5	1200	2000	35.0	10.0	1.41	
12	1	0	50	2.5	92.5	1.18	
12	2	50	300	2.5	92.5	1.18	
12	3	300	600	2.5	92.5	1.4	
12	4	600	2000	2.5	92.5	1.4	
13	1	0	100	23.5	19.0	1.25	
13	2	100	300	23.5	19.0	1.48	
13	3	300	700	23.5	19.0	1.48	
13	4	700	1000	23.5	19.0	1.48	
13	5	1000	2000	23.5	19.0	1.48	
14	1	0	100	23.5	19.0	1.25	
14	2	100	2000	23.5	19.0	1.25	
15	1	0	100	2.5	92.5	1.4	
15	2	100	300	2.5	92.5	1.4	
15	3	300	700	2.5	92.5	1.63	
15	4	700	1200	2.5	92.5	1.63	
15	5	1200	2000	2.5	92.5	1.63	
16	1	0	100	4.0	31.0	1.34	
16	2	100	300	4.0	31.0	1.34	
16	3	300	700	4.0	31.0	1.34	
16	4	700	1200	4.0	31.0	1.34	
16	5	1200	2000	4.0	31.0	1.34	
