      No     Day     Mon    Year  Qobs_0090411460  Qsim_0090411460
       1       1       1    1991        4.1000000        4.5104716
       2       2       1    1991        3.6800000        4.1258869
       3       3       1    1991        4.1000000        4.3015771
       4       4       1    1991        4.1000000        3.8290092
       5       5       1    1991        3.6800000        3.2354284
       6       6       1    1991        3.4700000        2.7612724
       7       7       1    1991        3.2700000        2.9073558
       8       8       1    1991        3.0700000        2.4401557
       9       9       1    1991        2.8800000        2.0828116
      10      10       1    1991        2.6900000        2.2655515
      11      11       1    1991        2.8800000        2.5727063
      12      12       1    1991        2.6900000        2.6402851
      13      13       1    1991        2.6900000        2.1964011
      14      14       1    1991        2.5000000        1.8978816
      15      15       1    1991        2.1500000        1.6602587
      16      16       1    1991        1.9700000        1.4653443
      17      17       1    1991        1.9700000        1.3043862
      18      18       1    1991        1.9700000        1.1706198
      19      19       1    1991        1.9700000        1.0587727
      20      20       1    1991        1.6400000        0.9647040
      21      21       1    1991        1.4800000        0.8975546
      22      22       1    1991        1.6400000        0.8340813
      23      23       1    1991        1.6400000        0.7764774
      24      24       1    1991        1.6400000        0.7247592
      25      25       1    1991        1.4800000        0.6796531
      26      26       1    1991        1.3300000        0.6405456
      27      27       1    1991        1.3300000        0.6064623
      28      28       1    1991        1.3300000        0.5766040
      29      29       1    1991        1.3300000        0.5503129
      30      30       1    1991        1.3300000        0.5270444
      31      31       1    1991        1.1800000        0.5063468
      32       1       2    1991        1.3300000        0.4878432
      33       2       2    1991        1.0400000        0.4712188
      34       3       2    1991        1.0400000        0.4562089
      35       4       2    1991        1.0400000        0.4425910
      36       5       2    1991        1.0400000        0.4301769
      37       6       2    1991        1.0400000        0.4188074
      38       7       2    1991        1.0400000        0.4083470
      39       8       2    1991        1.0400000        0.3986803
      40       9       2    1991        1.0400000        0.3897089
      41      10       2    1991        1.0400000        0.5953717
      42      11       2    1991        1.0400000        0.5482927
      43      12       2    1991        1.0400000        0.5177671
      44      13       2    1991        1.0400000        0.4913356
      45      14       2    1991        1.0400000        0.4683023
      46      15       2    1991        1.0400000        0.4481046
      47      16       2    1991        1.0400000        0.4302842
      48      17       2    1991        1.0400000        0.4144663
      49      18       2    1991        1.0400000        0.4003428
      50      19       2    1991        0.9100000        0.4068404
      51      20       2    1991        1.0400000        1.0999123
      52      21       2    1991        1.0400000        1.4221067
      53      22       2    1991        1.3300000        1.3998112
      54      23       2    1991        1.6400000        2.8602330
      55      24       2    1991        2.8800000        3.8208416
      56      25       2    1991        2.8800000        3.7452274
      57      26       2    1991        2.6900000        3.1476731
      58      27       2    1991        2.3200000        2.6636834
      59      28       2    1991        1.9700000        2.2705624
      60       1       3    1991        1.8100000        1.9538875
      61       2       3    1991        1.8100000        1.6990372
      62       3       3    1991        1.6400000        1.4973350
      63       4       3    1991        1.6400000        1.3357320
      64       5       3    1991        1.6400000        1.1941814
      65       6       3    1991        1.8100000        1.0701862
      66       7       3    1991        1.8100000        0.9667286
      67       8       3    1991        1.8100000        0.8798702
      68       9       3    1991        1.8100000        0.8065147
      69      10       3    1991        1.8100000        0.7442303
      70      11       3    1991        1.8100000        0.6913249
      71      12       3    1991        1.8100000        0.6455865
      72      13       3    1991        1.9700000        0.6060934
      73      14       3    1991        1.6400000        0.5718206
      74      15       3    1991        1.6400000        0.5419233
      75      16       3    1991        1.6400000        0.5157084
      76      17       3    1991        1.6400000        0.4926046
      77      18       3    1991        1.4800000        0.4721390
      78      19       3    1991        1.6400000        1.3109956
      79      20       3    1991        2.3200000        1.0040339
      80      21       3    1991        1.8100000        0.8768299
      81      22       3    1991        2.3200000        0.9569262
      82      23       3    1991        1.8100000        0.8440362
      83      24       3    1991        1.6400000        0.7671108
      84      25       3    1991        1.4800000        0.7059536
      85      26       3    1991        1.4800000        0.6539356
      86      27       3    1991        1.3300000        0.6094388
      87      28       3    1991        1.3300000        0.5715458
      88      29       3    1991        1.3300000        0.5413798
      89      30       3    1991        1.3300000        0.5178759
      90      31       3    1991        1.1800000        0.4941080
      91       1       4    1991        1.4800000        0.5449035
      92       2       4    1991        1.6400000        0.6028586
      93       3       4    1991        1.3300000        0.5619021
      94       4       4    1991        1.3300000        0.5284134
      95       5       4    1991        1.3300000        0.4993251
      96       6       4    1991        1.3300000        0.4739267
      97       7       4    1991        1.1800000        0.4517572
      98       8       4    1991        1.6400000        0.5115820
      99       9       4    1991        1.6400000        0.5675522
     100      10       4    1991        1.3300000        0.5159077
     101      11       4    1991        1.3300000        0.4867803
     102      12       4    1991        1.0400000        0.4613905
     103      13       4    1991        1.0400000        0.4391439
     104      14       4    1991        1.0400000        0.4195510
     105      15       4    1991        1.3300000        0.4022065
     106      16       4    1991        1.3300000        0.3885916
     107      17       4    1991        1.3300000        0.3942136
     108      18       4    1991        1.3300000        0.3977702
     109      19       4    1991        1.3300000        0.6263619
     110      20       4    1991        1.4800000        0.4040348
     111      21       4    1991        1.4800000        0.3916372
     112      22       4    1991        1.0400000        0.8680317
     113      23       4    1991        1.3300000        0.5554927
     114      24       4    1991        1.3300000        0.5338911
     115      25       4    1991        1.0400000        0.4991921
     116      26       4    1991        1.1800000        0.4705441
     117      27       4    1991        1.3300000        0.4441494
     118      28       4    1991        1.3300000        0.4338542
     119      29       4    1991        1.4800000        0.4753213
     120      30       4    1991        1.3300000        0.5383886
     121       1       5    1991        1.3300000        0.5554347
     122       2       5    1991        1.3300000        0.5651375
     123       3       5    1991        1.3300000        0.4914766
     124       4       5    1991        1.1800000        0.4563883
     125       5       5    1991        1.3300000        0.4299201
     126       6       5    1991        1.3300000        0.4068461
     127       7       5    1991        1.3300000        0.3866303
     128       8       5    1991        1.3300000        0.3688307
     129       9       5    1991        1.3300000        0.3530810
     130      10       5    1991        1.1800000        0.3391378
     131      11       5    1991        1.3300000        4.1098953
     132      12       5    1991        6.6600000        2.1647639
     133      13       5    1991        4.1000000        1.6626876
     134      14       5    1991        3.8900000        2.9815104
     135      15       5    1991        4.5300000        2.5932817
