      No     Day     Mon    Year  Qobs_0090411280  Qsim_0090411280
       1       1       1    1991        0.5500000        0.4754575
       2       2       1    1991        0.6200000        1.0968708
       3       3       1    1991        0.6600000        0.9574540
       4       4       1    1991        0.6600000        0.7430584
       5       5       1    1991        0.6200000        0.5636358
       6       6       1    1991        0.6200000        0.4719063
       7       7       1    1991        0.6200000        0.4424010
       8       8       1    1991        0.5900000        0.4159521
       9       9       1    1991        0.5900000        0.3921769
      10      10       1    1991        0.6200000        0.4452679
      11      11       1    1991        0.5900000        0.6734713
      12      12       1    1991        0.5900000        0.6997996
      13      13       1    1991        0.5900000        0.5226169
      14      14       1    1991        0.5900000        0.4233089
      15      15       1    1991        0.5900000        0.3986412
      16      16       1    1991        0.5900000        0.3765759
      17      17       1    1991        0.5500000        0.3567263
      18      18       1    1991        0.5500000        0.3388553
      19      19       1    1991        0.5500000        0.3227524
      20      20       1    1991        0.5200000        0.3082308
      21      21       1    1991        0.5500000        0.3493462
      22      22       1    1991        0.5900000        0.3595618
      23      23       1    1991        0.5500000        0.3221826
      24      24       1    1991        0.5500000        0.3076246
      25      25       1    1991        0.5200000        0.2962063
      26      26       1    1991        0.5200000        0.2870713
      27      27       1    1991        0.5500000        0.2778941
      28      28       1    1991        0.5500000        0.2667171
      29      29       1    1991        0.5500000        0.2572554
      30      30       1    1991        0.5500000        0.2489818
      31      31       1    1991        0.5900000        0.2414757
      32       1       2    1991        0.5500000        0.2346589
      33       2       2    1991        0.4800000        0.2284616
      34       3       2    1991        0.4800000        0.2228215
      35       4       2    1991        0.4800000        0.2176828
      36       5       2    1991        0.4800000        0.2129955
      37       6       2    1991        0.4800000        0.2087147
      38       7       2    1991        0.4500000        0.2048004
      39       8       2    1991        0.4500000        0.2012165
      40       9       2    1991        0.4200000        0.1979308
      41      10       2    1991        0.4200000        0.1949142
      42      11       2    1991        0.4200000        0.1921406
      43      12       2    1991        0.4200000        0.1895866
      44      13       2    1991        0.4200000        0.1872313
      45      14       2    1991        0.3900000        0.1850555
      46      15       2    1991        0.4200000        0.1830423
      47      16       2    1991        0.4200000        0.1811763
      48      17       2    1991        0.4200000        0.1794436
      49      18       2    1991        0.4200000        0.1778318
      50      19       2    1991        0.4200000        0.1763950
      51      20       2    1991        0.4500000        1.5465063
      52      21       2    1991        0.4800000        2.1479008
      53      22       2    1991        0.5200000        1.0888343
      54      23       2    1991        0.5500000        0.8303318
      55      24       2    1991        1.0300000        0.6621387
      56      25       2    1991        0.9500000        0.6114572
      57      26       2    1991        0.7400000        0.5668767
      58      27       2    1991        0.5900000        0.5269918
      59      28       2    1991        0.4800000        0.4912782
      60       1       3    1991        0.4200000        0.4592742
      61       2       3    1991        0.3300000        0.4307511
      62       3       3    1991        0.3300000        0.4051374
      63       4       3    1991        0.3000000        0.3819680
      64       5       3    1991        0.3300000        0.3611336
      65       6       3    1991        0.3300000        0.3423876
      66       7       3    1991        0.3300000        0.3255066
      67       8       3    1991        0.3600000        0.3102923
      68       9       3    1991        0.3600000        0.2965684
      69      10       3    1991        0.3600000        0.2841783
      70      11       3    1991        0.3300000        0.2729822
      71      12       3    1991        0.3300000        0.2628561
      72      13       3    1991        0.3300000        0.2536891
      73      14       3    1991        0.3000000        0.2453825
      74      15       3    1991        0.3300000        0.2468919
      75      16       3    1991        0.3600000        0.2538071
      76      17       3    1991        0.3300000        0.2464928
      77      18       3    1991        0.3300000        0.2388105
      78      19       3    1991        0.3600000        1.0233599
      79      20       3    1991        0.5900000        1.0969870
      80      21       3    1991        0.4800000        0.5141885
      81      22       3    1991        0.5500000        0.4443990
