year,drought_months,total_months,drought_fraction,smi_mean,smi_min,mdi_mean,mdi_min
2005,29,365,0.07945205479452055,28.937564849853516,12.841585159301758,35.35282897949219,11.959439277648926
2006,43,365,0.1178082191780822,31.830543518066406,16.58380699157715,36.047874450683594,7.895640850067139
2007,12,365,0.03287671232876712,44.10731506347656,10.372700691223145,50.67633819580078,10.868449211120605
2008,0,366,0.0,60.37438201904297,43.006797790527344,60.04612350463867,34.14586639404297
2009,0,365,0.0,64.52054595947266,45.14593505859375,62.59721755981445,29.67284393310547
2010,0,365,0.0,82.84845733642578,55.532161712646484,77.54761505126953,26.070697784423828
2011,0,365,0.0,84.56221771240234,58.64363479614258,73.30720520019531,34.798038482666016
2012,0,366,0.0,68.4705810546875,43.6476936340332,60.88011169433594,29.032230377197266
2013,0,365,0.0,82.1366195678711,66.25566864013672,76.12444305419922,47.69711685180664
2014,9,365,0.024657534246575342,53.34789276123047,30.560911178588867,46.39820098876953,16.062410354614258
2015,3,365,0.00821917808219178,41.27544403076172,26.172719955444336,42.58519744873047,18.438289642333984
2016,0,366,0.0,49.475730895996094,32.78206253051758,52.67759704589844,22.29380989074707
2017,0,365,0.0,52.946372985839844,29.02631187438965,55.00535583496094,24.77537727355957
2018,143,365,0.3917808219178082,34.07712173461914,5.932088851928711,31.94043731689453,5.327691078186035
2019,162,365,0.4438356164383562,14.503325462341309,4.520934581756592,24.071176528930664,6.193914890289307
2020,200,366,0.546448087431694,12.876752853393555,3.2053232192993164,21.03975486755371,3.7239022254943848
