date,SMI,RCI,QDI,MDI
2005-01-01,14.375,60.625,91.875,55.625
2005-01-02,15.104167,57.8125,38.020832,36.979168
2005-01-03,15.625,58.482143,80.80357,51.636906
2005-01-04,16.015625,58.984375,48.046875,41.015625
2005-01-05,16.015625,58.984375,69.140625,48.046875
2005-01-06,18.359375,58.203125,49.609375,42.057293
2005-01-07,17.578125,56.640625,34.765625,36.328125
2005-01-08,16.796875,50.390625,32.421875,33.203125
2005-01-09,16.015625,46.484375,30.859375,31.119791
2005-01-10,12.890625,44.921875,26.953125,28.255209
2005-01-11,11.328125,39.453125,23.046875,24.609375
2005-01-12,11.328125,45.703125,68.359375,41.796875
2005-01-13,13.671875,49.609375,48.046875,37.109375
2005-01-14,13.671875,43.359375,26.953125,27.994791
2005-01-15,11.328125,39.453125,23.828125,24.869791
2005-01-16,8.203125,34.765625,19.921875,20.963541
2005-01-17,7.421875,27.734375,16.796875,17.317709
2005-01-18,8.984375,30.078125,59.765625,32.942707
2005-01-19,9.765625,30.078125,23.046875,20.963541
2005-01-20,9.765625,56.640625,98.828125,55.078125
2005-01-21,9.765625,78.515625,65.234375,51.171875
2005-01-22,9.765625,76.171875,80.859375,55.598957
2005-01-23,11.328125,75.390625,63.671875,50.130207
2005-01-24,11.328125,73.046875,61.328125,48.567707
2005-01-25,11.328125,70.703125,55.859375,45.963543
2005-01-26,9.765625,66.015625,55.078125,43.619793
2005-01-27,9.375,62.109375,51.171875,40.885418
2005-01-28,10.15625,58.984375,48.046875,39.0625
2005-01-29,9.765625,54.296875,44.921875,36.328125
2005-01-30,8.984375,44.140625,39.453125,30.859375
2005-01-31,8.203125,38.671875,32.421875,26.432291
2005-02-01,7.421875,35.546875,27.734375,23.567709
2005-02-02,9.765625,42.578125,89.453125,47.265625
2005-02-03,11.328125,55.859375,76.953125,48.046875
2005-02-04,12.109375,55.078125,35.546875,34.244793
2005-02-05,10.546875,48.828125,33.203125,30.859375
2005-02-06,9.765625,41.796875,30.859375,27.473959
2005-02-07,8.984375,38.671875,27.734375,25.130209
2005-02-08,8.203125,36.328125,24.609375,23.046875
2005-02-09,7.421875,33.984375,19.921875,20.442709
2005-02-10,9.765625,68.359375,98.046875,58.723957
2005-02-11,12.109375,97.265625,98.828125,69.40104
2005-02-12,29.296875,98.828125,99.609375,75.91146
2005-02-13,39.453125,99.609375,97.265625,78.77604
2005-02-14,41.40625,98.046875,97.265625,78.90625
2005-02-15,40.625,97.265625,95.703125,77.864586
2005-02-16,39.84375,97.265625,92.578125,76.5625
2005-02-17,38.28125,97.265625,87.109375,74.21875
2005-02-18,36.328125,97.265625,83.984375,72.52604
2005-02-19,34.765625,97.265625,78.515625,70.18229
2005-02-20,34.765625,94.921875,72.265625,67.31771
2005-02-21,34.765625,90.234375,69.921875,64.97396
2005-02-22,34.765625,81.640625,67.578125,61.328125
2005-02-23,34.765625,76.953125,62.109375,57.942707
2005-02-24,34.765625,72.265625,62.890625,56.640625
2005-02-25,34.765625,66.015625,55.859375,52.213543
2005-02-26,34.765625,58.984375,51.171875,48.307293
2005-02-27,34.765625,53.515625,49.609375,45.963543
2005-02-28,34.765625,48.828125,45.703125,43.098957
2005-03-01,34.765625,44.921875,40.234375,39.973957
2005-03-02,34.765625,42.578125,38.671875,38.671875
2005-03-03,33.203125,37.890625,31.640625,34.244793
2005-03-04,30.859375,34.765625,26.953125,30.859375
2005-03-05,28.515625,32.421875,24.609375,28.515625
2005-03-06,26.953125,28.515625,20.703125,25.390625
2005-03-07,26.171875,25.390625,18.359375,23.307291
2005-03-08,29.296875,28.515625,76.171875,44.661457
2005-03-09,31.640625,33.203125,61.328125,42.057293
2005-03-10,33.203125,29.296875,20.703125,27.734375
2005-03-11,31.640625,25.390625,26.953125,27.994791
2005-03-12,33.984375,23.046875,57.421875,38.151043
2005-03-13,34.765625,23.828125,49.609375,36.067707
2005-03-14,34.765625,28.515625,69.140625,44.140625
